Numero Ticket;ItemID;Item;Fecha Creacion;Fecha Termino;Service Desk;Fecha Cierre;Resumen;Ubicacion;Modo Reporte;Estado;Prioridad
WO0000005201565;43;CAJONERA CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;REEMPLAZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005205204;32;CAJA BUZON;2024-05-05;;Zona Norte;;REPARAR;CAMANA - 250000;Web HD;Rechazado;3
WO0000005204431;22;BOVEDA;2024-05-05;06-05-24;Zona Centro;09/05/2024;REPARAR;MERCADO DE FRUTAS - 191064;Web HD;Cerrado;3
WO0000005205212;241;TECHO /BALDOSAS FILTRACION;2024-05-05;14-05-24;Zona Centro;17/05/2024;CAMBIAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005205270;35;CAJA PULMON;2024-05-05;07-05-24;Zona Sur;10/05/2024;REPARAR;CHOSICA - 191075;Web HD;Cerrado;3
WO0000005203959;221;SILLAS;2024-05-05;;Zona Sur;;REPARAR;HUAYCAN - 191085;Web HD;Rechazado;3
WO0000005204845;41;CAJONERA;2024-05-05;05-05-24;Zona Centro;08/05/2024;REPARAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005204417;146;MODULOS;2024-05-05;15-06-24;Zona Centro;18/06/2024;REPARAR;LA ENSENADA - 191149;Web HD;Cerrado;3
WO0000005204844;41;CAJONERA;2024-05-05;05-05-24;Zona Centro;08/05/2024;REPARAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005204843;41;CAJONERA;2024-05-05;05-05-24;Zona Centro;08/05/2024;REPARAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005204476;56;CONTADOR DE BILLETES;2024-05-05;05-05-24;Zona Sur;08/05/2024;REPARAR;HUAYCAN - 191085;Web HD;Cerrado;3
WO0000005204416;146;MODULOS;2024-05-05;25-06-24;Zona Centro;28/06/2024;REPARAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005204487;56;CONTADOR DE BILLETES;2024-05-05;07-05-24;Zona Sur;10/05/2024;REPARAR;RAUL FERRERO - 193012;Web HD;Cerrado;3
WO0000005204862;190;PUERTA / MAMPARA CERRADURA;2024-05-05;05-05-24;Zona Sur;08/05/2024;DUPLICADO DE LLAVE;CHACLACAYO - 191074;Web HD;Cerrado;3
WO0000005204420;206;REFLECTOR / LAMPARAS;2024-05-05;12-05-24;Zona Centro;15/05/2024;REVISAR;EL PINO - 191087;Web HD;Cerrado;3
WO0000005204851;240;TECHO /BALDOSAS;2024-05-05;05-05-24;Zona Sur;08/05/2024;CAMBIAR;CHACLACAYO - 191074;Web HD;Cerrado;3
WO0000005204884;22;BOVEDA;2024-05-05;;Zona Sur;;APERTURAR;PISCO - 470000;Web HD;Rechazado;3
WO0000005204427;56;CONTADOR DE BILLETES;2024-05-05;11-05-24;Zona Centro;14/05/2024;REPARAR;EL PINO - 191087;Web HD;Cerrado;3
WO0000005204436;154;OFICINA;2024-05-05;20-05-24;Zona Centro;23/05/2024;FUMIGAR;TOPY TOP - 191049;Web HD;Cerrado;3
WO0000005204494;188;PUERTA / MAMPARA;2024-05-05;14-05-24;Zona Norte;17/05/2024;REPARAR;PUNO - 495000;Web HD;Cerrado;3
WO0000005204475;65;CREDENZA CERRADURA;2024-05-05;05-05-24;Zona Sur;08/05/2024;DUPLICADO DE LLAVE;HUAYCAN - 191085;Web HD;Cerrado;3
WO0000005203958;154;OFICINA;2024-05-05;27-05-24;Zona Sur;30/05/2024;FUMIGAR;SANTA ANITA - 191052;Web HD;Cerrado;3
WO0000005204817;154;OFICINA;2024-05-05;03-06-24;Zona Centro;06/06/2024;FUMIGAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005204811;154;OFICINA;2024-05-05;20-05-24;Zona Centro;23/05/2024;FUMIGAR;CAQUETA - 191091;Web HD;Cerrado;3
WO0000005204409;111;GRIFERIA;2024-05-05;06-05-24;Zona Centro;09/05/2024;REVISAR;EL AGUSTINO - 191041;Web HD;Cerrado;3
WO0000005203977;111;GRIFERIA;2024-05-05;11-05-24;Zona Centro;14/05/2024;REVISAR;EL SOL - 191082;Web HD;Cerrado;3
WO0000005204875;264;VINIL;2024-05-05;18-05-24;Zona Centro;21/05/2024;REPONER;PLAZA LIMA NORTE - 191058;Web HD;Cerrado;3
WO0000005204457;130;LAVATORIO;2024-05-05;05-05-24;Zona Centro;08/05/2024;REPARAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005205210;240;TECHO /BALDOSAS;2024-05-05;28-05-24;Zona Norte;31/05/2024;CAMBIAR;ILO - 385000;Web HD;Cerrado;3
WO0000005203990;206;REFLECTOR / LAMPARAS;2024-05-05;18-05-24;Zona Centro;21/05/2024;REVISAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005205208;30;CABLEADO;2024-05-05;12-05-24;Zona Centro;15/05/2024;REVISAR;PLAZA LIMA NORTE - 191058;Web HD;Cerrado;3
WO0000005204883;108;FOCO FLOURESCENTES;2024-05-05;05-05-24;Zona Centro;08/05/2024;CAMBIAR;CANTO GRANDE - 191096;Web HD;Cerrado;3
WO0000005205810;232;TABLERO ELECTRICO;2024-05-05;06-05-24;Zona Norte;09/05/2024;REVISAR;LA NEGRITA - 215004;Web HD;Cerrado;3
WO0000005204806;130;LAVATORIO;2024-05-05;05-05-24;Zona Centro;08/05/2024;REPARAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005209019;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;PINTAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005209018;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;PINTAR;NARANJAL - 191141;Web HD;Cerrado;3
WO0000005206737;56;CONTADOR DE BILLETES;2024-05-06;11-05-24;Zona Centro;14/05/2024;REPARAR;EL PINO - 191087;Web HD;Cerrado;3
WO0000005207202;190;PUERTA / MAMPARA CERRADURA;2024-05-06;07-05-24;Zona Centro;10/05/2024;REEMPLAZAR;SANTA LUZMILA - 191063;Web HD;Cerrado;3
WO0000005207266;108;FOCO FLOURESCENTES;2024-05-06;06-05-24;Zona Sur;09/05/2024;CAMBIAR;PLAZA SAN MARTIN - 191004;Web HD;Cerrado;3
WO0000005209246;245;TELEVISOR;2024-05-06;20-05-24;Zona Centro;23/05/2024;REPARACION;VILLA SOL - 191059;TELEFONO;Cerrado;3
WO0000005207274;6;ALFOMBRAS;2024-05-06;06-05-24;Zona Centro;09/05/2024;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005207708;29;CABLE VGA;2024-05-06;20-06-24;Zona Norte;23/06/2024;REEMPLAZAR;MOQUEGUA - 430000;Web HD;Cerrado;2
WO0000005207223;5;AIRE ACONDICIONADO;2024-05-06;06-05-24;Zona Centro;09/05/2024;REGULAR;NACIONES UNIDAS - 191084;Web HD;Cerrado;3
WO0000005209023;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;PINTAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005207279;154;OFICINA;2024-05-06;13-05-24;Zona Sur;16/05/2024;FUMIGAR;ICA - 380000;Web HD;Cerrado;3
WO0000005207283;130;LAVATORIO;2024-05-06;06-05-24;Zona Sur;09/05/2024;REPARAR;CENTRO CIVICO - 191105;Web HD;Cerrado;3
WO0000005209015;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;LIMPIAR;SANTA LUZMILA - 191063;Web HD;Cerrado;3
WO0000005208199;16;ATRIL;2024-05-06;11-05-24;Zona Sur;14/05/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005209006;16;ATRIL;2024-05-06;11-05-24;Zona Sur;14/05/2024;REPARAR;RAUL FERRERO - 193012;Web HD;Cerrado;3
WO0000005207724;57;CONTADOR DE MONEDAS;2024-05-06;08-05-24;Zona Sur;11/05/2024;REPARAR;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005209007;154;OFICINA;2024-05-06;22-05-24;Zona Sur;25/05/2024;FUMIGAR;CENTRO CIVICO - 191105;Web HD;Cerrado;3
WO0000005207268;239;TANQUES ELEVADOS CISTERNAS Y POZOS;2024-05-06;22-05-24;Zona Sur;25/05/2024;REPARAR;ICA - 380000;Web HD;Cerrado;3
WO0000005207278;190;PUERTA / MAMPARA CERRADURA;2024-05-06;07-05-24;Zona Sur;10/05/2024;DUPLICADO DE LLAVE;MUSA - 193050;Web HD;Cerrado;3
WO0000005207294;190;PUERTA / MAMPARA CERRADURA;2024-05-06;12-05-24;Zona Norte;15/05/2024;DUPLICADO DE LLAVE;UMACOLLO - 215009;Web HD;Cerrado;3
WO0000005206735;5;AIRE ACONDICIONADO;2024-05-06;07-05-24;Zona Centro;10/05/2024;REPARAR;PRO - 191029;Web HD;Cerrado;3
WO0000005208117;31;CAJA / TAPA DE PASO;2024-05-06;06-05-24;Zona Norte;09/05/2024;REVISAR;LA NEGRITA - 215004;Web HD;Cerrado;3
WO0000005208116;31;CAJA / TAPA DE PASO;2024-05-06;06-05-24;Zona Norte;09/05/2024;REVISAR;LA NEGRITA - 215004;Web HD;Cerrado;3
WO0000005207221;57;CONTADOR DE MONEDAS;2024-05-06;;Zona Sur;;REPARAR;VENEZUELA - 191026;Web HD;Rechazado;3
WO0000005207267;5;AIRE ACONDICIONADO;2024-05-06;12-05-24;Zona Sur;15/05/2024;REPARAR;CHACLACAYO - 191074;Web HD;Cerrado;3
WO0000005206793;5;AIRE ACONDICIONADO;2024-05-06;07-05-24;Zona Sur;10/05/2024;REPARAR;MERCADO CENTRAL - 191002;Web HD;Cerrado;3
WO0000005207222;56;CONTADOR DE BILLETES;2024-05-06;;Zona Sur;;REPARAR;VENEZUELA - 191026;Web HD;Rechazado;3
WO0000005207744;192;PUERTA/MAMPARA BRAZO HIDRAULICO;2024-05-06;05-06-24;Zona Norte;08/06/2024;REPARAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005208176;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;PINTAR;PRO - 191029;Web HD;Cerrado;3
WO0000005207737;91;ESCRIBANIA;2024-05-06;11-05-24;Zona Centro;14/05/2024;REPARAR;LAS MALVINAS - 191076;Web HD;Cerrado;3
WO0000005207264;5;AIRE ACONDICIONADO;2024-05-06;06-05-24;Zona Centro;09/05/2024;REPARAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005206799;57;CONTADOR DE MONEDAS;2024-05-06;;Zona Sur;;REPARAR;ALFONSO UGARTE - 191089;Web HD;Rechazado;3
WO0000005209003;163;PARED;2024-05-06;02-06-24;Zona Centro;05/06/2024;PINTAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005206792;13;ASCENSOR DISCAPACITADO;2024-05-06;12-05-24;Zona Norte;15/05/2024;REVISAR;MARIANO MELGAR - 215014;Web HD;Cerrado;3
WO0000005207282;128;LAMPARA DE EMERGENCIA;2024-05-06;06-05-24;Zona Sur;09/05/2024;REPARAR;CENTRO CIVICO - 191105;Web HD;Cerrado;3
WO0000005207224;111;GRIFERIA;2024-05-06;06-05-24;Zona Sur;09/05/2024;REVISAR;RAUL FERRERO - 193012;Web HD;Cerrado;3
WO0000005210998;31;CAJA / TAPA DE PASO;2024-05-07;07-05-24;Zona Norte;10/05/2024;REVISAR;LARAPA - 285005;Web HD;Cerrado;3
WO0000005210059;64;CREDENZA;2024-05-07;12-05-24;Zona Sur;15/05/2024;REPARAR;MUSA - 193050;Web HD;Cerrado;3
WO0000005210958;69;DETECTOR DE BILLETES;2024-05-07;04-06-24;Zona Norte;07/06/2024;REPARAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005210526;108;FOCO FLOURESCENTES;2024-05-07;15-06-24;Zona Norte;18/06/2024;CAMBIAR;JAUREGUI - 405005;Web HD;Cerrado;3
WO0000005210940;106;FOCO AHORRADOR;2024-05-07;19-05-24;Zona Sur;22/05/2024;REVISAR;COLONIAL - 192035;Web HD;Cerrado;3
WO0000005211391;160;PANEL DE ALARMAS;2024-05-07;09-05-24;Zona Norte;12/05/2024;REPARAR;SAN ROMAN - 405003;Web HD;Cerrado;3
WO0000005210996;108;FOCO FLOURESCENTES;2024-05-07;07-05-24;Zona Norte;10/05/2024;CAMBIAR;LARAPA - 285005;Web HD;Cerrado;3
WO0000005212361;197;PULSADOR DE ASALTO;2024-05-07;11-05-24;Zona Centro;14/05/2024;REPARAR;TUSILAGOS - 191108;Web HD;Cerrado;3
WO0000005212357;55;CONTACTO MAGNETICO;2024-05-07;11-05-24;Zona Sur;14/05/2024;REPARAR;MUSA - 193050;Web HD;Cerrado;3
WO0000005210982;43;CAJONERA CERRADURA;2024-05-07;12-05-24;Zona Sur;15/05/2024;REEMPLAZAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005210968;56;CONTADOR DE BILLETES;2024-05-07;02-06-24;Zona Norte;05/06/2024;REPARAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005210957;241;TECHO /BALDOSAS FILTRACION;2024-05-07;21-05-24;Zona Sur;24/05/2024;CAMBIAR;IMPERIAL - 255001;Web HD;Cerrado;3
WO0000005210923;225;SIRENA;2024-05-07;20-05-24;Zona Centro;23/05/2024;REPARAR;ROSA TORO - 193022;Web HD;Cerrado;3
WO0000005210984;108;FOCO FLOURESCENTES;2024-05-07;13-05-24;Zona Sur;16/05/2024;CAMBIAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005211318;56;CONTADOR DE BILLETES;2024-05-07;;Zona Norte;;REPARAR;PUERTO MALDONADO - 485000;Web HD;Rechazado;3
WO0000005210516;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;MERCADO DE FRUTAS - 191064;Web HD;Cerrado;3
WO0000005210961;56;CONTADOR DE BILLETES;2024-05-07;;Zona Sur;;REPARAR;PURUCHUCO - 191020;Web HD;Rechazado;3
WO0000005210515;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005211322;240;TECHO /BALDOSAS;2024-05-07;;Zona Norte;;CAMBIAR;PUERTO MALDONADO - 485000;Web HD;Rechazado;3
WO0000005211317;56;CONTADOR DE BILLETES;2024-05-07;;Zona Norte;;REPARAR;PUERTO MALDONADO - 485000;Web HD;Rechazado;3
WO0000005210518;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;EL SOL - 191082;Web HD;Cerrado;3
WO0000005210952;130;LAVATORIO;2024-05-07;11-05-24;Zona Sur;14/05/2024;REPARAR;IMPERIAL - 255001;Web HD;Cerrado;3
WO0000005210522;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005210521;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005210506;249;TOMACORRIENTES;2024-05-07;08-05-24;Zona Sur;11/05/2024;REVISAR;GRAU (LIMA) - 191005;Web HD;Cerrado;3
WO0000005210520;16;ATRIL;2024-05-07;09-05-24;Zona Centro;12/05/2024;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Web HD;Cerrado;3
WO0000005210011;22;BOVEDA;2024-05-07;11-05-24;Zona Centro;14/05/2024;REPARAR;SANTO DOMINGO - 191036;Web HD;Cerrado;3
WO0000005211316;56;CONTADOR DE BILLETES;2024-05-07;;Zona Norte;;REPARAR;PUERTO MALDONADO - 485000;Web HD;Rechazado;3
WO0000005210040;232;TABLERO ELECTRICO;2024-05-07;;Zona Centro;;REVISAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Rechazado;3
WO0000005210096;16;ATRIL;2024-05-07;13-05-24;Zona Sur;16/05/2024;REPARAR;HUAYCAN - 191085;Web HD;Cerrado;3
WO0000005210977;43;CAJONERA CERRADURA;2024-05-07;12-05-24;Zona Sur;15/05/2024;APERTURAR;LOS DAMASCOS - 193038;Web HD;Cerrado;3
WO0000005210949;221;SILLAS;2024-05-07;14-05-24;Zona Norte;17/05/2024;REPARAR;PUNO - 495000;Web HD;Cerrado;3
WO0000005210511;183;POZO SEPTICO;2024-05-07;14-05-24;Zona Norte;17/05/2024;LIMPIAR;URUBAMBA - 285009;Web HD;Cerrado;3
WO0000005211320;108;FOCO FLOURESCENTES;2024-05-07;20-05-24;Zona Norte;20/05/2024;CAMBIAR;PUERTO MALDONADO - 485000;Web HD;Terminado;3
WO0000005210502;154;OFICINA;2024-05-07;13-05-24;Zona Sur;16/05/2024;FUMIGAR;LUREN - 380004;Web HD;Cerrado;3
WO0000005210530;232;TABLERO ELECTRICO;2024-05-07;26-05-24;Zona Centro;29/05/2024;REVISAR;PRO - 191029;Web HD;Cerrado;3
WO0000005210062;136;LLAVE SHUNT;2024-05-07;07-05-24;Zona Sur;10/05/2024;REPARAR;VENEZUELA - 191026;Web HD;Cerrado;3
WO0000005211305;108;FOCO FLOURESCENTES;2024-05-07;;Zona Norte;;REVISAR;SOCABAYA - 215017;Web HD;Rechazado;3
WO0000005210532;232;TABLERO ELECTRICO;2024-05-07;26-05-24;Zona Centro;29/05/2024;REVISAR;PRO - 191029;Web HD;Cerrado;3
WO0000005212965;15;ATM;2024-05-08;12-05-24;Zona Sur;15/05/2024;REVISAR;MOLICENTRO - 193004;Web HD;Cerrado;3
WO0000005213363;221;SILLAS;2024-05-08;08-05-24;Zona Centro;11/05/2024;REPARAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005213970;232;TABLERO ELECTRICO;2024-05-08;08-05-24;Zona Centro;11/05/2024;REVISAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005213311;123;INODOROS;2024-05-08;08-05-24;Zona Norte;11/05/2024;REVISAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005213328;257;URINARIOS;2024-05-08;18-06-24;Zona Norte;21/06/2024;REVISAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005213962;5;AIRE ACONDICIONADO;2024-05-08;12-05-24;Zona Centro;15/05/2024;REPARAR;ZARATE - 191097;Web HD;Cerrado;3
WO0000005212999;111;GRIFERIA;2024-05-08;08-05-24;Zona Norte;11/05/2024;REVISAR;CAYMA - 215002;Web HD;Cerrado;3
WO0000005213907;65;CREDENZA CERRADURA;2024-05-08;08-05-24;Zona Sur;11/05/2024;DUPLICADO DE LLAVE;PLAZA SAN MARTIN - 191004;Web HD;Cerrado;3
WO0000005213982;31;CAJA / TAPA DE PASO;2024-05-08;08-05-24;Zona Norte;11/05/2024;REVISAR;AREQUIPA - 215000;Web HD;Cerrado;3
WO0000005213912;154;OFICINA;2024-05-08;21-05-24;Zona Centro;24/05/2024;DESRATIZAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005213987;31;CAJA / TAPA DE PASO;2024-05-08;08-05-24;Zona Norte;11/05/2024;REVISAR;AREQUIPA - 215000;Web HD;Cerrado;3
WO0000005213374;240;TECHO /BALDOSAS;2024-05-08;15-05-24;Zona Sur;18/05/2024;CAMBIAR;GRAU (LIMA) - 191005;Web HD;Cerrado;3
WO0000005212985;56;CONTADOR DE BILLETES;2024-05-08;;Zona Sur;;REPARAR;SANTA ANITA - 191052;Web HD;Rechazado;3
WO0000005212976;221;SILLAS;2024-05-08;08-05-24;Zona Centro;11/05/2024;REPARAR;PUENTE PIEDRA - 191035;Web HD;Cerrado;3
WO0000005212958;117;IMANTADO;2024-05-08;16-05-24;Zona Norte;19/05/2024;CONFECCIONAR;PUERTO MALDONADO - 485000;Web HD;Cerrado;3
WO0000005213950;56;CONTADOR DE BILLETES;2024-05-08;11-05-24;Zona Sur;14/05/2024;REPARAR;SANTA ANITA - 191052;Web HD;Cerrado;3
WO0000005213318;108;FOCO FLOURESCENTES;2024-05-08;12-05-24;Zona Norte;15/05/2024;CAMBIAR;LA NEGRITA - 215004;Web HD;Cerrado;3
WO0000005214400;227;SISTEMA DE VIDEO;2024-05-08;25-05-24;Zona Norte;28/05/2024;REPARACION;SAN ROMAN - 405003;Web HD;Cerrado;2
WO0000005213334;56;CONTADOR DE BILLETES;2024-05-08;12-05-24;Zona Sur;15/05/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005213998;190;PUERTA / MAMPARA CERRADURA;2024-05-08;13-05-24;Zona Norte;16/05/2024;REEMPLAZAR;SAN ROMAN - 405003;Web HD;Cerrado;3
WO0000005213979;130;LAVATORIO;2024-05-08;08-05-24;Zona Norte;11/05/2024;REPARAR;AREQUIPA - 215000;Web HD;Cerrado;3
